rank,title,rating,show_type,votes,episodes
171b,Mobile Suit Gundam 00,8.22,TV,2379,25
172b,Black Butler,7.82,TV,2491,24
173b,Golden Boy,7.93,OAV,2457,6
174b,(The) Animatrix,7.14,OAV,2722,9
175b,Another,7.90,TV,2454,12
176b,Love Hina X'mas Special - Silent Eve,7.63,,2537,
177b,Fairy Tail,7.72,TV,2490,175
178b,Spice and Wolf II,8.52,TV,2242,12
179b,Ai Yori Aoshi,7.38,TV,2586,24
180b,Evangelion: 2.0 You Can,8.75,movie,2173,
181b,Full Metal Panic! The Second Raid,8.00,OAV,2368,1
182b,(The) Familiar of Zero: Knight of the Twin Moons,7.76,TV,2443,12
183b,S-CRY-ed,7.07,TV,2660,26
184b,Strawberry Panic!,8.26,TV,2257,26
185b,(The) Cat Returns,7.92,movie,2348,
186b,Skip Beat!,8.33,TV,2232,25
187b,Tokyo Godfathers,8.39,movie,2203,
188b,Dragon Ball GT,5.48,TV,3372,64
189b,Please Twins!,7.26,TV,2524,12
190b,Kurenai,8.01,TV,2280,12
191b,Karin,7.50,TV,2432,24
192b,"Now and Then, Here and There",8.17,TV,2230,13
193b,Kaleido Star,8.63,TV,2110,51
194b,Elfen Lied,7.39,OAV,2460,1
195b,KenIchi the Mightiest Disciple,8.24,TV,2188,50
196b,Oreimo,7.53,TV,2380,16
197b,Air Gear,7.54,TV,2373,25
198b,NANA,8.52,TV,2097,47
199b,Rozen Maiden,7.65,TV,2334,12
200b,Fate/Zero,8.24,TV,2167,13
201b,Naruto the Movie: Ninja Clash in the Land of Snow,7.02,,2537,
202b,Honey and Clover II,8.54,TV,2083,12
203b,Vandread,7.41,TV,2387,13
204b,Darker than Black: Gemini of the Meteor,7.75,TV,2279,12
205b,Ranma ½,7.67,TV,2302,161
206b,Destiny of the Shrine Maiden,7.85,TV,2247,12
207b,Shakugan no Shana Second,7.88,TV,2235,24
208b,Psycho-Pass,8.09,TV,2166,22
209b,My Bride is a Mermaid,7.99,TV,2193,26
210b,School Days,6.47,TV,2705,12
211b,Lovely Complex,8.23,TV,2124,24
212b,Love Hina Spring Special - I Wish Your Dream,7.25,,2406,
213b,Pokémon,5.57,TV,3122,276
214b,Corpse Princess: Aka,7.78,TV,2234,13
215b,Maria Watches Over Us,8.53,TV,2027,13
216b,Bleach the Movie: Memories of Nobody,7.40,,2325,
217b,Escaflowne: The Movie,6.75,,2548,
218b,Afro Samurai,7.05,TV,2436,5
219b,Tenjho Tenge,6.94,TV,2460,24
220b,Utawarerumono,7.88,TV,2158,26
221b,Mobile Suit Gundam Seed Destiny,7.42,TV,2287,50
222b,Ah! My Goddess: The Movie,7.81,,2168,
223b,X,7.63,TV,2215,24
224b,Maid Sama!,7.28,TV,2321,26
225b,"She, The Ultimate Weapon",7.59,TV,2217,13
226b,(The) Melancholy of Haruhi Suzumiya,7.15,TV 2009 renewal,2344,14
227b,Deadman Wonderland,7.46,TV,2246,12
228b,Ghost Hunt,7.85,TV,2123,25
229b,Rurouni Kenshin: The Motion Picture,7.34,,2246,
230b,Bludgeoning Angel Dokuro-chan,6.92,TV,2363,8
231b,Ponyo on the Cliff by the Sea,7.90,movie,2058,
232b,Sayonara Zetsubou-sensei,8.17,TV,1985,12
233b,Oh My Goddess!,7.59,OAV,2133,5
234b,Bunny Drop,8.75,TV,1849,11
235b,Hell Girl,7.52,TV,2144,26
236b,Negima!,7.07,TV,2272,26
237b,Sword of the Stranger,8.44,movie,1897,
238b,InuYasha the Movie 2: The Castle Beyond the Looking Glass,7.47,,2124,
239b,Noein - to your other self,7.95,TV,1996,24
240b,Birdy the Mighty: Decode,7.91,TV,1993,13
241b,One Punch Man,8.22,TV,1917,
242b,(The) Slayers,7.69,TV,2042,26
243b,Metropolis,7.37,movie,2125,
244b,InuYasha the Movie: Affections Touching Across Time,7.36,,2127,
245b,Jin-Roh - The Wolf Brigade,7.89,movie,1984,
246b,Digimon Adventure,6.75,TV,2316,54
247b,(The) World God Only Knows,7.63,TV,2036,12
248b,A Certain Scientific Railgun,7.49,TV,2074,24
249b,Baka and Test - Summon the Beasts,7.75,TV,1987,13
250b,Myself; Yourself,7.90,TV,1944,13
251b,Vampire Knight Guilty,7.76,TV,1966,13
252b,Sekirei,7.44,TV,2046,12
253b,(The) Big O,7.15,TV,2119,26
254b,Getbackers,7.59,TV,1996,49
255b,Fushigi Yugi,7.54,TV,2005,52
256b,(The) Garden of Sinners,8.67,movie series,1743,
257b,Heroic Age,7.82,TV,1933,26
258b,Kill la Kill,8.19,TV,1835,24
259b,Wolf's Rain,8.21,OAV,1827,4
260b,(The) Devil Is a Part-Timer!,7.63,TV,1965,13
261b,Lupin III: The Castle of Cagliostro,8.20,movie,1808,
262b,Corpse Princess: Kuro,7.92,TV,1868,13
263b,Buso Renkin,7.37,TV,1996,26
264b,Hikaru no Go,8.17,TV,1786,75
265b,Samurai Deeper Kyo,7.20,TV,2020,26
266b,Ghost in the Shell: Stand Alone Complex: Solid State Society,8.31,movie,1745,
267b,Vampire Hunter D,7.02,OAV,2066,1
268b,Hajime no Ippo,8.74,TV,1654,76
269b,Cat Planet Cuties,7.66,TV,1874,12
270b,Case Closed,7.56,TV,1900,
271b,InuYasha the Movie 3: Swords of an Honorable Ruler,7.78,,1842,
272b,Vandread: The Second Stage,7.45,TV,1919,13
273b,True Tears,7.46,TV,1915,13
274b,K-ON!!,7.67,TV 2,1844,26
275b,Rideback,7.82,TV,1803,12
276b,Guilty Crown,7.29,TV,1919,22
277b,Gosick,8.26,TV,1693,24
278b,DearS,6.76,TV,2065,12
279b,Suzuka,7.40,TV,1871,26
280b,Rosario + Vampire Capu2,7.33,TV,1888,13
281b,Magical Shopping Arcade Abenobashi,7.42,TV,1859,13
282b,"No Game, No Life",8.17,TV,1678,12
283b,Ah! My Goddess: Flights of Fancy,7.88,TV,1739,24
284b,Gravitation,7.46,TV,1833,13
285b,Martian Successor Nadesico,7.76,TV,1762,26
286b,Tenchi Muyo!,7.91,OAV 1/1992,1727,6
287b,Mobile Suit Gundam Wing: Endless Waltz,7.59,OAV,1793,3
288b,Fate/Zero,8.39,TV 2,1621,12
289b,My-Otome,7.63,TV,1783,26
290b,Hayate the Combat Butler,7.88,TV,1727,52
291b,Crest of the Stars,8.04,TV,1691,13
292b,Blassreiter,7.71,TV,1761,24
293b,Angelic Layer,7.34,TV,1844,26
293b,Black Blood Brothers,7.04,TV,1923,12
293b,Devil May Cry,6.85,TV,1976,12
296b,Please Teacher!,7.48,OAV,1802,1
297b,(The) Familiar of Zero: Rondo of Princesses,7.50,TV,1795,12
298b,Natsume's Book of Friends,8.41,TV,1601,13
299b,Birdy the Mighty Decode:02,8.10,TV,1661,12
300b,Macross Frontier,8.35,TV,1593,25
301b,Yakitate!! Japan,7.02,TV,1884,69
302b,Casshern Sins,7.63,TV,1732,24
303b,Last Order Final Fantasy VII,7.37,OAV,1786,1
304b,Minami-ke,7.89,TV,1664,13
305b,Blue Gender,6.64,TV,1964,26
306b,Ikki Tousen,6.21,TV,2090,13
307b,Squid Girl,7.92,TV,1636,12
308b,Mobile Suit Gundam 00 Second Season,8.31,TV,1556,25
309b,Steamboy,7.38,movie,1749,
310b,Kurokami The Animation,7.81,TV,1654,23
311b,Demon King Daimao,7.16,TV,1797,12
312b,Paradise Kiss,7.90,TV,1623,12
313b,Cardcaptor Sakura The Movie 2: The Sealed Card,8.21,,1559,
314b,MoonPhase,7.47,TV,1706,26
315b,Ai Yori Aoshi ~Enishi~,7.33,TV,1738,13
316b,Chaos;HEAd,6.74,TV,1884,12
317b,Time of Eve,8.57,ONA,1480,6
318b,School Rumble: Extra Class,8.01,OAV,1577,2
319b,Haganai,7.55,TV,1663,12
320b,Tenchi Universe,7.42,TV,1678,26
321b,Mahoromatic - Automatic Maiden,7.49,TV,1662,12
322b,CANAAN,7.66,TV,1622,13
323b,Shonen Onmyouji,7.95,TV,1562,26
324b,Is This a Zombie?,7.56,TV,1636,12
325b,Mobile Suit Gundam: The 08th MS Team,7.97,OAV,1548,12
326b,Rozen Maiden: Träumend,7.88,TV,1565,12
327b,Maburaho,6.92,TV,1780,24
328b,Girls Bravo,6.72,TV,1831,24
329b,Xam'd: Lost Memories,7.54,ONA,1630,26
330b,Hunter X Hunter,8.57,OAV,1434,8
331b,"Love, Chunibyo & Other Delusions!",7.95,TV,1547,12
332b,Den-noh Coil,8.41,TV,1459,26
333b,Revolutionary Girl Utena,8.02,TV,1512,39
334b,Nisemonogatari,8.10,TV,1496,11
335b,RIN - Daughters of Mnemosyne,7.48,TV,1616,6
336b,Pokémon: The First Movie,6.26,movie 1,1931,
337b,Kimi ni Todoke 2nd Season,8.35,TV,1446,12
338b,Eden of the East: The King of Eden,7.89,movie,1530,
339b,Your Lie in April,8.46,TV,1419,22
340b,Burst Angel,6.61,TV,1807,24
341b,Maria Watches Over Us Season 2: Printemps,8.81,TV,1353,13
342b,Kannagi: Crazy Shrine Maidens,7.73,TV,1539,13
343b,Tokyo Ghoul,7.23,TV,1644,12
344b,your name.,8.97,movie,1320,
345b,Princess Tutu,8.38,TV,1411,38
346b,Shaman King,7.27,TV 2001,1622,64
347b,Aishiteruze Baby,7.68,TV,1527,26
348b,Cardcaptor Sakura: The Movie,7.59,,1545,
349b,Initial D,7.85,TV,1493,26
350b,Parasyte -the maxim-,8.19,TV,1431,24
351b,ERASED,8.30,TV,1412,12
352b,Loveless,7.32,TV,1588,12
353b,S.A,7.65,TV,1520,24
354b,Full Moon o Sagashite,8.18,TV,1420,52
355b,High School DxD,7.41,TV,1568,12
356b,Hunter X Hunter: Greed Island,8.40,OAV,1379,8
357b,Phantom ~Requiem for the Phantom~,7.54,TV,1531,26
358b,Macross Plus,7.97,OAV,1444,4
359b,Naruto the Movie: Legend of the Stone of Gelel,6.67,movie 2,1718,
360b,REC,7.73,TV,1482,10
361b,Bleach: The DiamondDust Rebellion,7.49,movie 2,1528,
362b,Hunter X Hunter: G I Final,8.45,OAV,1353,14
363b,Shiki,7.42,TV,1538,22
364b,Gintama,8.39,TV,1357,201
365b,Sola,7.76,TV,1463,15
366b,Green Green,6.30,TV,1792,12
367b,Karas,7.67,OAV,1473,6
368b,(The) World God Only Knows Season Two,7.64,TV,1479,12
369b,Katanagatari,8.40,TV,1343,12
370b,Noragami,7.57,TV,1486,12
371b,My Little Monster,7.79,TV,1445,13
372b,Dance in the Vampire Bund,6.61,TV,1698,12
373b,Banner of the Stars,8.00,TV,1400,13
374b,Btooom!,7.39,TV,1515,12
375b,Infinite Stratos,6.97,TV,1600,12
375b,Kids on the Slope,8.55,TV,1305,12
377b,Sailor Moon R,7.27,TV,1535,43
378b,B Gata H Kei - Yamada’s First Time,7.25,TV,1538,12
379b,Kiddy Grade,7.13,TV,1562,24
380b,Nodame Cantabile: Paris,8.39,TV,1327,11
381b,To Love-Ru,7.06,TV,1575,26
382b,Sound of the Sky,7.80,TV,1426,14
383b,Heaven's Lost Property,7.45,TV,1488,13
384b,Record of Lodoss War,7.38,OAV,1497,13
385b,(The) Slayers Next,8.22,TV,1341,26
386b,Accel World,7.42,TV,1484,24
387b,.hack//Legend of the Twilight,6.49,TV,1692,12
388b,(The) Wallflower,7.59,TV,1444,25
389b,Azumanga Daioh - The Very Short Movie,7.22,,1516,
390b,Air,7.40,movie,1477,
391b,Nabari no Ou,7.39,TV,1478,26
392b,Chrome Shelled Regios,7.63,TV,1427,24
393b,Boogiepop Phantom,7.31,TV,1488,12
394b,HYOUKA,8.01,TV,1357,22
395b,(The) Prince of Tennis,7.59,TV,1427,178
396b,Sailor Moon S,7.63,TV,1411,38
397b,This Ugly Yet Beautiful World,6.82,TV,1580,12
398b,ef: a tale of melodies,8.54,TV,1259,12
399b,Gargantia on the Verdurous Planet,7.59,TV,1403,13
400b,Hanasaku Iroha - Blossoms for Tomorrow,8.31,TV,1269,26
401b,Redline,8.03,movie,1306,
402b,Wolf Children,8.60,movie,1217,
403b,Genshiken 2,8.09,TV,1292,12
404b,Sword Art Online II,7.43,TV,1406,24
405b,Ichigo 100%,6.77,TV,1541,26
406b,Blue Submarine No.6,6.99,OAV,1492,4
407b,Seitokai Yakuindomo,7.81,TV,1333,13
408b,Uta∽Kata,7.80,TV,1332,12
409b,"Ceres, Celestial Legend",7.19,TV,1444,24
410b,Gunbuster,8.14,OAV,1271,6
411b,Texhnolyze,7.55,TV,1365,22
412b,Hunter × Hunter,8.66,TV 2011,1181,148
413b,Natsume's Book of Friends,8.58,TV 2,1191,13
414b,Gunslinger Girl: Il Teatrino,7.81,TV,1308,13
415b,InuYasha the Movie 4: Fire on the Mystic Island,7.30,,1397,
416b,Strike Witches,7.48,TV,1364,12
417b,My Teen Romantic Comedy SNAFU,7.86,TV,1297,13
418b,From the New World,7.92,TV,1286,25
419b,Kekkaishi,7.75,TV,1312,52
420b,GUNxSWORD,7.35,TV,1382,26
421b,Desert Punk,6.99,TV,1454,24
422b,Aria the Animation,7.98,TV,1269,13
423b,ItaKiss,7.79,TV,1298,25
424b,Tsubasa Tokyo Revelations,8.46,OAV,1192,3
425b,X,5.60,movie,1799,
426b,Mobile Suit Gundam Wing: Endless Waltz Special Edition,7.71,movie,1303,
427b,Witchblade,7.29,TV,1376,24
428b,(The) Secret World of Arrietty,8.06,movie,1238,
429b,Sekirei: Pure Engagement,7.73,TV,1286,14
430b,A Certain Magical Index II,7.36,TV,1348,24
431b,Dusk maiden of Amnesia,7.64,TV,1291,13
432b,Mobile Fighter G Gundam,6.83,TV,1442,49
433b,(The) Pet Girl of Sakurasou,7.48,TV,1312,24
434b,Elemental Gelade,7.42,TV,1320,26
435b,Peacemaker,7.30,TV,1337,24
436b,Puni Puni Poemy,6.74,OAV,1441,2
437b,Digimon Adventure 02,6.61,TV,1459,50
438b,Log Horizon,8.10,TV,1186,25
439b,Denpa teki na Kanojo,8.24,OAV,1162,2
440b,Nyan Koi!,7.43,TV,1286,12
441b,Darker than Black - Kuro no Keiyakusha: Gaiden,7.74,OAV,1228,4
442b,Night Raid 1931,7.56,TV,1251,13
443b,Akame ga KILL!,7.46,TV,1267,24
444b,Yu-Gi-Oh!,5.41,TV 1/1998,1741,27
445b,He Is My Master,6.57,TV,1431,12
446b,Death Parade,7.89,TV,1192,12
447b,xxxHOLiC: Kei,8.31,TV,1131,13
448b,Wagnaria!!,7.75,TV,1211,13
449b,Clannad,7.49,movie,1252,
450b,Cromartie High School,7.53,TV,1245,26
451b,Air In Summer,7.82,special,1194,
452b,Banner of the Stars II,8.16,TV,1144,10
453b,Angel Sanctuary,6.22,OAV,1498,3
454b,Bubblegum Crisis: Tokyo 2040,7.03,TV,1326,26
455b,Spiral,7.32,TV,1272,25
456b,Ōkami-san & Her Seven Companions,7.56,TV,1229,12
457b,Bakuman.,8.19,TV,1135,25
458b,Chihayafuru,8.42,TV,1103,25
459b,Tiger & Bunny,8.23,TV,1129,25
460b,Eden of the East: Paradise Lost,7.84,movie,1182,
461b,Please Twins!,7.18,OAV,1290,1
462b,Madlax,7.54,TV,1227,26
463b,Kanokon: The Girl Who Cried Fox,6.61,TV,1394,12
464b,Mobile Suit Gundam,7.70,TV,1197,43
465b,(The) Slayers Try,7.88,TV,1168,26
466b,(The) Tower of Druaga: The Aegis of Uruk,7.46,TV,1232,12
467b,Lucky Star OVA,7.90,,1162,
468b,Kokoro Connect,7.71,TV,1186,17
469b,Dragon Ball Z: The Tree of Might,6.09,movie 3,1499,
470b,Dragon Ball Z: Dead Zone,6.22,movie 1,1462,
471b,Is It Wrong to Try to Pick Up Girls in a Dungeon?,7.52,TV,1206,13
472b,Beyond the Boundary,7.55,TV,1200,12
473b,Magical Girl Lyrical Nanoha,7.55,TV,1199,13
474b,Saiyuki,7.28,TV,1242,50
475b,Waiting in the Summer,7.91,TV,1142,12
476b,Freezing,7.22,TV,1245,12
477b,Descendants of Darkness,7.16,TV,1256,13
477b,Prétear,7.18,TV,1252,13
479b,Mahoromatic: Something More Beautiful,7.49,TV,1197,14
480b,Kämpfer,5.99,TV,1493,12
481b,Jyu-Oh-Sei,7.33,TV,1219,11
482b,(The) Super Dimension Fortress Macross,8.32,TV,1072,36
482b,Bokura ga Ita,7.75,TV,1151,26
484b,Aria - The Natural,8.12,TV,1098,26
485b,Memories,7.81,movie,1137,
486b,Appleseed: Ex Machina,7.49,movie,1185,
487b,Ghost Hound,7.44,TV,1184,22
488b,Pokémon 2000 - The Movie,6.19,movie 2,1418,
489b,Naruto Special: Battle at Hidden Falls. I Am the Hero!,6.47,OAV,1356,1
490b,Princess Jellyfish,8.08,TV,1085,11
491b,(The) Story of Saiunkoku,8.09,TV,1083,39
492b,Monthly Girls' Nozaki-kun,8.17,TV,1072,12
493b,Kasimasi - Girl Meets Girl,7.08,TV,1236,12
494b,xxxHOLiC the Movie: A Midsummer Night's Dream,7.78,,1122,
495b,Re:ZERO -Starting Life in Another World-,8.42,TV,1037,25
496b,Bleach: The Sealed Sword Frenzy,6.98,OAV,1249,1
497b,Nichijou - My Ordinary Life,8.26,TV,1055,26
498b,Genshiken,8.02,OAV,1087,
499b,My Hero Academia,8.15,TV,1069,13
500b,Kyo kara Maoh!,7.73,TV,1122,78
501b,Pom Poko,7.38,movie,1174,
502b,(The) Garden of Words,8.31,movie,1043,
503b,Strawberry Eggs,7.05,TV,1227,13
504b,Kite,6.73,OAV,1285,2
505b,Tenchi the Movie - Tenchi Muyo in Love,7.66,,1127,
506b,Magical Girl Lyrical Nanoha A's,8.08,TV,1068,13
507b,Arakawa Under the Bridge,7.54,TV,1140,13
508b,Zombie-Loan,6.95,TV,1236,13
509b,Battle Angel,7.21,OAV,1191,2
510b,Maria Holic,7.27,TV,1179,12
511b,Tenchi in Tokyo,6.23,TV,1373,26
512b,Dragon Ball Z: The World's Strongest,6.18,movie 2,1383,
513b,(Le) Chevalier D'Eon,7.50,TV,1138,24
514b,Fractale,7.46,TV,1144,11
515b,Tales from Earthsea,6.72,movie,1267,
516b,Tokyo Magnitude 8.0,8.24,TV,1028,11
517b,Dragon Ball Z: Bardock - The Father of Goku,7.09,special,1189,
518b,Black Butler II,7.43,TV,1134,12
519b,Origin ~Spirits of the Past~,7.03,movie,1198,
520b,Tenchi Muyo! Ryo-Ohki,7.96,OAV 2/1994,1056,6
521b,Bleach: Memories in the Rain,6.86,OAV,1222,1
522b,C – Control – The Money and Soul of Possibility,7.37,TV,1137,11
523b,Strawberry Marshmallow,7.92,TV,1057,12
524b,Samurai Harem,6.94,TV,1206,12
525b,Haruka Nogizaka's Secret,7.39,TV,1126,12
526b,Koi Kaze,7.76,TV,1072,13
527b,Aquarion,6.79,TV,1221,26
528b,"Say ""I love you.""",7.64,TV,1082,13
529b,Black Lagoon: Roberta's Blood Trail,8.10,OAV,1019,5
530b,Magic Knight Rayearth,7.04,TV,1165,20
531b,Haganai NEXT,7.49,TV,1090,12
532b,Pandora Hearts,7.64,TV,1066,25
533b,Grenadier,6.63,TV,1227,12
534b,Naruto the Movie: Guardians of the Crescent Moon Kingdom,6.36,movie 3,1277,
535b,Sailor Moon Sailor Stars,7.90,TV,1022,34
536b,K,7.06,TV,1143,13
