ID,atable_rank,btable_rank,title,atable_rating,atable_show_type,atable_votes,atable_episodes,btable_rating,btable_show_type,btable_votes,btable_episodes
97,739a,76b,Ergo Proxy,7.9,TV,622541,23,7.99,TV,4043,
98,760a,79b,School Rumble,7.89,TV,320867,26,8.25,TV,3899,
99,800a,806b,Beelzebub,7.86,TV,579898,60,7.61,TV,734,60.0
100,818a,459b,Tiger & Bunny,7.85,TV,222169,25,8.23,TV,1129,25.0
101,836a,312b,Paradise Kiss,7.85,TV,215212,12,7.9,TV,1623,12.0
102,845a,75b,Soul Eater,7.84,TV,1569994,51,8.11,TV,3993,
103,867a,83b,Gungrave,7.83,TV,184484,26,8.35,TV,3764,26.0
104,925a,763b,Jormungand,7.8,TV,348592,12,7.76,TV,755,12.0
105,926a,905b,Little Witch Academia,7.8,Movie,305652,1,7.92,movie,632,
106,934a,63b,Wolf's Rain,7.8,TV,319967,26,7.94,TV,4522,
107,934a,259b,Wolf's Rain,7.8,TV,319967,26,8.21,OAV,1827,4.0
108,938a,343b,Tokyo Ghoul,7.79,TV,2708660,12,7.23,TV,1644,12.0
109,949a,59b,Last Exile,7.79,TV,170458,26,8.33,TV,4546,
110,957a,807b,Mind Game,7.78,Movie,82403,1,7.98,movie,700,
111,979a,246b,Digimon Adventure,7.77,TV,390373,54,6.75,TV,2316,54.0
112,999a,411b,Texhnolyze,7.76,TV,240472,22,7.55,TV,1365,22.0
