rank,title,rating,show_type,episodes,run_time,member_count
948a,Kekkai Sensen & Beyond,7.79,TV,12,Oct 2017 - Dec 2017,420311
949a,Last Exile,7.79,TV,26,Apr 2003 - Sep 2003,170458
950a,New Initial D Movie: Legend 2 - Tousou,7.79,Movie,1,May 2015 - May 2015,28679
951a,Seikai no Senki II,7.79,TV,10,Jul 2001 - Sep 2001,23187
952a,Shadows House,7.79,TV,13,Apr 2021 - Jul 2021,231020
953a,Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),7.78,Movie,1,Dec 2007 - Dec 2007,234156
954a,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,7.78,TV,373,Jun 1996 - Dec 2004,17721
955a,Macross F Movie 1: Itsuwari no Utahime,7.78,Movie,1,Nov 2009 - Nov 2009,30296
956a,Magic Kaito,7.78,Special,12,Apr 2010 - Dec 2012,69820
957a,Mind Game,7.78,Movie,1,Aug 2004 - Aug 2004,82403
958a,New Initial D Movie: Legend 1 - Kakusei,7.78,Movie,1,Aug 2014 - Aug 2014,35735
959a,Saiyuuki Gaiden,7.78,OVA,3,Mar 2011 - Nov 2011,13367
960a,Seitokai Yakuindomo Movie 2,7.78,Movie,1,Jan 2021 - Jan 2021,30221
961a,Shin Kidou Senki Gundam Wing: Endless Waltz Special,7.78,Movie,1,Aug 1998 - Aug 1998,58363
962a,Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,7.78,Movie,1,Oct 2019 - Oct 2019,3668
963a,Yi Nian Yong Heng,7.78,ONA,52,Aug 2020 - Jul 2021,14837
964a,Break Blade Movie 3: Kyoujin no Ato,7.78,Movie,1,Sep 2010 - Sep 2010,58320
965a,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",7.78,Special,1,Jul 2009 - Jul 2009,258690
966a,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,7.78,OVA,1,Jul 2009 - Jul 2009,47637
