rank,title,rating,show_type,votes,episodes
841a,Oniisama e...,7.84,TV,44606,39
842a,Seihou Bukyou Outlaw Star,7.84,TV,150889,24
843a,Sekaiichi Hatsukoi 2,7.84,TV,153746,12
844a,Shen Yin Wangzuo 2nd Season,7.84,ONA,2267,52
845a,Soul Eater,7.84,TV,1569994,51
846a,Trigun Stampede,7.84,TV,144343,12
847a,Uchouten Kazoku,7.84,TV,163752,13
848a,Urusei Yatsura 2: Beautiful Dreamer,7.84,Movie,18962,1
849a,Yume-iro Pâtissière,7.84,TV,79421,50
850a,Yuusha-Ou GaoGaiGar,7.84,TV,20852,49
851a,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,7.84,Movie,287181,1
852a,BanG Dream! Film Live 2nd Stage,7.84,Movie,6352,1
853a,Beastars,7.84,TV,813781,12
854a,Berserk: Ougon Jidai-hen - Memorial Edition,7.84,TV,32977,13
855a,Grisaia no Meikyuu: Caprice no Mayu 0,7.84,Special,224583,1
856a,Hanasaku Iroha Movie: Home Sweet Home,7.84,Movie,88225,1
857a,Id:Invaded,7.84,TV,346791,13
858a,Ie Naki Ko,7.84,TV,14922,51
859a,Isekai Ojisan,7.84,TV,302272,13
860a,Jibaku Shounen Hanako-kun,7.84,TV,558285,12
861a,K-On!: Live House!,7.84,Special,156382,1
862a,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,7.84,OVA,14043,1
863a,91 Days,7.83,TV,690517,12
864a,Break Blade Movie 4: Sanka no Chi,7.83,Movie,57155,1
865a,Danshi Koukousei no Nichijou Specials,7.83,Special,133218,6
866a,Gekkan Shoujo Nozaki-kun,7.83,TV,898690,12
867a,Gungrave,7.83,TV,184484,26
868a,Haikyuu!! Riku vs. Kuu,7.83,OVA,283590,2
869a,Kara no Kyoukai Movie 4: Garan no Dou,7.83,Movie,209263,1
870a,Planetarian: Hoshi no Hito,7.83,Movie,46726,1
871a,Seitokai Yakuindomo Movie,7.83,Movie,58012,1
872a,Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,7.83,Movie,65551,1
873a,Suzumiya Haruhi no Yuuutsu,7.83,TV,892234,14
874a,Tanaka-kun wa Itsumo Kedaruge,7.83,TV,446339,12
875a,Tasogare Otome x Amnesia,7.83,TV,390748,12
876a,Tentai Senshi Sunred 2nd Season,7.82,TV,7882,26
877a,Working'!!,7.82,TV,258530,13
878a,Yuru Yuri♪♪,7.82,TV,181163,12
879a,Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,7.82,Movie,30658,1
880a,Bungou Stray Dogs,7.82,TV,1308332,12
881a,Capeta,7.82,TV,26153,52
882a,Haikyuu!! (OVA),7.82,OVA,30098,10
883a,Hidamari Sketch x 365,7.82,TV,31294,13
884a,Kidou Senshi Gundam: Senkou no Hathaway,7.82,Movie,33554,1
885a,Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,7.82,Special,68187,1
886a,Kokoro ga Sakebitagatterunda.,7.82,Movie,320751,1
887a,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,7.82,TV,244691,12
888a,Seto no Hanayome OVA,7.82,OVA,52372,2
889a,Somali to Mori no Kamisama,7.82,TV,278311,12
890a,Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,7.81,Movie,39752,1
891a,Kuroko no Basket: Tip Off,7.81,Special,101612,1
892a,Little Witch Academia (TV),7.81,TV,620109,25
893a,Lupin III: The First,7.81,Movie,30465,1
894a,Lupin the IIIrd: Jigen Daisuke no Bohyou,7.81,Movie,27997,1
895a,Mahoujin Guruguru (2017),7.81,TV,32195,24
896a,Mairimashita! Iruma-kun 3rd Season,7.81,TV,164417,21
897a,Owarimonogatari 2nd Season Recaps,7.81,Special,25154,2
898a,Princess Connect! Re:Dive Season 2,7.81,TV,118674,12
899a,Shingeki no Kyojin: Lost Girls,7.81,OVA,292903,3
900a,Slayers Try,7.81,TV,53701,26
901a,Tamayura: Sotsugyou Shashin Part 3 - Akogare,7.81,Movie,9531,1
902a,Tunshi Xingkong,7.81,ONA,6253,26
903a,Wu Shan Wu Xing (2020),7.81,ONA,51106,3
904a,Aggressive Retsuko (ONA) 3rd Season,7.81,ONA,84910,10
905a,Akachan to Boku,7.81,TV,22124,35
906a,Blue Period,7.81,TV,429896,12
907a,Break Blade Movie 5: Shisen no Hate,7.81,Movie,54905,1
908a,Detective Conan Movie 08: Time Travel of the Silver Sky,7.81,Special,20986,1
909a,Eikoku Koi Monogatari Emma: Molders-hen,7.81,TV,26269,12
910a,Enen no Shouboutai: Ni no Shou,7.81,TV,719297,24
911a,Flanders no Inu (Movie),7.81,Movie,21598,1
912a,Goku Sayonara Zetsubou Sensei,7.81,OVA,63433,3
913a,Igano Kabamaru,7.81,TV,10757,24
914a,Jungle wa Itsumo Hare nochi Guu,7.81,TV,33463,26
915a,Baby Steps,7.80,TV,144012,25
916a,Beastars 2nd Season,7.80,TV,416781,12
917a,City Hunter 3,7.80,TV,20607,13
918a,Detective Conan Movie 07: Crossroad in the Ancient Capital,7.80,Movie,50105,1
919a,Doraemon (1979),7.80,TV,59979,1787
920a,Go! Princess Precure,7.80,TV,17151,50
921a,Hibike! Euphonium Movie 2: Todoketai Melody,7.80,Movie,28449,1
922a,Hidamari Sketch x ☆☆☆ Specials,7.80,Special,14642,2
923a,Inu-Ou,7.80,Movie,22245,1
924a,InuYasha Movie 3: Tenka Hadou no Ken,7.80,Movie,98760,1
925a,Jormungand,7.80,TV,348592,12
926a,Little Witch Academia,7.80,Movie,305652,1
927a,Lucky☆Star: Original na Visual to Animation,7.80,OVA,130037,1
928a,Magi: Sinbad no Bouken,7.80,OVA,130835,5
929a,Maria-sama ga Miteru 3rd,7.80,OVA,22113,5
930a,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,7.80,Special,43239,1
931a,Ojamajo Doremi Na-i-sho,7.80,OVA,10288,13
932a,Psycho-Pass 3: First Inspector,7.80,ONA,89844,3
933a,Saint☆Oniisan (Movie),7.80,Movie,93058,1
934a,Wolf's Rain,7.80,TV,319967,26
935a,Taishou Otome Otogibanashi,7.79,TV,130938,12
936a,The Last: Naruto the Movie,7.79,Movie,579372,1
937a,There She Is!!,7.79,ONA,24450,5
938a,Tokyo Ghoul,7.79,TV,2708660,12
939a,Tunshi Xingkong 2nd Season,7.79,ONA,4601,104
940a,Violet Evergarden CM,7.79,ONA,4867,2
941a,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,7.79,Movie,14071,1
942a,Coquelicot-zaka kara,7.79,Movie,191257,1
943a,Detective Conan Movie 09: Strategy Above the Depths,7.79,Movie,48027,1
944a,Emiya-san Chi no Kyou no Gohan,7.79,ONA,125806,13
945a,Fate/Grand Carnival,7.79,OVA,50918,4
946a,Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,7.79,Movie,68587,1
947a,Innocence,7.79,Movie,156970,1
948a,Kekkai Sensen & Beyond,7.79,TV,420311,12
949a,Last Exile,7.79,TV,170458,26
950a,New Initial D Movie: Legend 2 - Tousou,7.79,Movie,28679,1
951a,Seikai no Senki II,7.79,TV,23187,10
952a,Shadows House,7.79,TV,231020,13
953a,Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),7.78,Movie,234156,1
954a,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,7.78,TV,17721,373
955a,Macross F Movie 1: Itsuwari no Utahime,7.78,Movie,30296,1
956a,Magic Kaito,7.78,Special,69820,12
957a,Mind Game,7.78,Movie,82403,1
958a,New Initial D Movie: Legend 1 - Kakusei,7.78,Movie,35735,1
959a,Saiyuuki Gaiden,7.78,OVA,13367,3
960a,Seitokai Yakuindomo Movie 2,7.78,Movie,30221,1
961a,Shin Kidou Senki Gundam Wing: Endless Waltz Special,7.78,Movie,58363,1
962a,Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,7.78,Movie,3668,1
963a,Yi Nian Yong Heng,7.78,ONA,14837,52
964a,Break Blade Movie 3: Kyoujin no Ato,7.78,Movie,58320,1
965a,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",7.78,Special,258690,1
966a,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,7.78,OVA,47637,1
967a,Crayon Shin-chan,7.78,TV,80134,?
968a,Date A Live IV,7.78,TV,229913,12
969a,Detective Conan Movie 12: Full Score of Fear,7.78,Movie,45687,1
970a,Digimon Adventure: Bokura no War Game!,7.78,Movie,76152,1
971a,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,7.78,OVA,25812,7
972a,Ginga Tetsudou 999,7.78,TV,35761,113
973a,Gochuumon wa Usagi desu ka??,7.78,TV,127017,12
974a,Gochuumon wa Usagi desu ka?? Dear My Sister,7.78,Movie,40381,1
975a,Jin-Rou,7.78,Movie,169374,1
976a,Jungle wa Itsumo Hare nochi Guu Deluxe,7.78,OVA,12258,6
977a,Akage no Anne,7.77,TV,31152,50
978a,Aria the Crepuscolo,7.77,Movie,11426,1
979a,Digimon Adventure,7.77,TV,390373,54
980a,Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,7.77,Special,106111,1
981a,Hadashi no Gen,7.77,Movie,50504,1
982a,"Haikyuu!! vs. ""Akaten""",7.77,OVA,89428,1
983a,Heike Monogatari,7.77,TV,74634,11
984a,Hidamari Sketch x SP,7.77,Special,14500,2
985a,High Score Girl,7.77,TV,248039,12
986a,Hoozuki no Reitetsu,7.77,TV,127836,13
987a,Kidou Senshi Gundam,7.77,TV,127398,43
988a,Kubikiri Cycle: Aoiro Savant to Zaregotozukai,7.77,OVA,101602,8
989a,Kumichou Musume to Sewagakari,7.77,TV,194463,12
990a,Love Live! School Idol Project 2nd Season,7.77,TV,252297,13
991a,Lupin III: Part II,7.77,TV,33521,155
992a,Lupin the Third: Mine Fujiko to Iu Onna,7.77,TV,61347,13
993a,Saraiya Goyou,7.77,TV,90063,12
994a,Sekaiichi Hatsukoi: Valentine-hen,7.77,Movie,40454,1
995a,Sonny Boy,7.77,TV,283189,12
996a,Wan Sheng Jie 3,7.77,ONA,6480,12
997a,Yuru Yuri Nachuyachumi!+,7.77,Special,53704,2
998a,Tamayura: Sotsugyou Shashin Part 2 - Hibiki,7.76,Movie,9948,1
999a,Texhnolyze,7.76,TV,240472,22
1000a,The Disappearance of Conan Edogawa: The Worst Two Days in History,7.76,Special,12620,1
