rank,title,rating,show_type,votes,episodes
518a,Durarara!!x2 Ketsu,8.06,TV,367967,12
519a,Girls & Panzer: Saishuushou Part 2,8.06,Movie,33337,1
520a,Kodomo no Omocha (TV),8.06,TV,65120,102
521a,Koukyoushihen Eureka Seven,8.06,TV,427530,50
522a,Kuroko no Basket,8.06,TV,1159081,25
523a,Kuroshitsuji: Book of Murder,8.06,OVA,236971,2
524a,Mahoutsukai no Yome,8.06,TV,882336,24
525a,Romantic Killer,8.06,ONA,160087,12
526a,Karakai Jouzu no Takagi-san 2,8.05,TV,317593,12
527a,Kidou Senshi Gundam: Tekketsu no Orphans,8.05,TV,230872,25
528a,Kyou kara Ore wa!!,8.05,OVA,32455,10
529a,Mairimashita! Iruma-kun 2nd Season,8.05,TV,293586,21
530a,Omoide no Marnie,8.05,Movie,282639,1
531a,Shijou Saikyou no Deshi Kenichi,8.05,TV,293852,50
532a,Uma Musume: Pretty Derby Season 2,8.05,TV,45809,13
533a,Dorohedoro,8.05,TV,510858,12
534a,Ginga Eiyuu Densetsu Gaiden (1999),8.05,OVA,19536,28
535a,Glass no Kamen (2005),8.05,TV,38291,51
536a,Gosick,8.05,TV,529421,24
537a,Boku no Hero Academia 3rd Season,8.04,TV,2093727,25
538a,Dennou Coil,8.04,TV,143348,26
539a,Fate/stay night: Unlimited Blade Works Prologue,8.04,Special,310034,1
540a,Golden Boy,8.04,OVA,376423,6
541a,Haikyuu!! Movie 2: Shousha to Haisha,8.04,Movie,87237,1
542a,Kamisama Hajimemashita OVA,8.04,OVA,125254,2
543a,Kidou Senshi Gundam: Suisei no Majo Season 2,8.04,TV,63766,12
544a,Kill la Kill,8.04,TV,1664052,24
545a,Paprika,8.04,Movie,512882,1
546a,Saint Seiya: Meiou Hades Juuni Kyuu-hen,8.04,OVA,55373,13
547a,xxxHOLiC Shunmuki,8.04,OVA,68595,2
548a,Summer Wars,8.03,Movie,508113,1
549a,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.03,OVA,238631,1
550a,Akatsuki no Yona,8.03,TV,818564,24
551a,BanG Dream! 3rd Season,8.03,TV,34326,13
552a,Black Lagoon,8.03,TV,963580,12
553a,Detective Conan Movie 03: The Last Wizard of the Century,8.03,Movie,63645,1
554a,Detective Conan Movie 10: Requiem of the Detectives,8.03,Movie,54066,1
555a,FLCL,8.03,OVA,789100,6
556a,Full Metal Panic? Fumoffu,8.03,TV,289608,12
557a,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,8.03,Movie,27568,4
558a,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,8.03,OVA,353153,1
559a,Lovely★Complex,8.03,TV,566700,24
560a,Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,8.02,Movie,222146,1
561a,Magi: The Labyrinth of Magic,8.02,TV,1010290,25
562a,Persona 3 the Movie 4: Winter of Rebirth,8.02,Movie,70001,1
563a,Saiunkoku Monogatari 2nd Season,8.02,TV,40085,39
564a,SK∞,8.02,TV,524142,12
565a,Slayers Next,8.02,TV,68662,26
566a,Toaru Kagaku no Railgun S,8.02,TV,376951,24
567a,BanG Dream! Movie: Episode of Roselia - II: Song I Am.,8.02,Movie,7688,1
568a,Black Lagoon: Roberta's Blood Trail,8.02,OVA,285920,5
569a,D.Gray-man,8.02,TV,675083,103
