rank,title,rating,age_rating,run_time,year_range,votes
935c, Sekirei,7.6,TV-MA,28 min,(2008–2010),46
936c, Haganai: I Don't Have Many Friends,7.9,TV-MA,25 min,(2011– ),43
937c, Mushi-Shi,8.5,TV-14,44 min,(2005–2014),1552
938c, A Certain Scientific Railgun,7.1,TV-14,,(2009– ),162
939c, Mushi-Shi: Next Passage,8.6,TV-14,47 min,(2014–2015),1209
940c, In Search of the Lost Future,,TV-14,23 min,(2014– ),
941c, The Art of Japanese Life,5.5,,59 min,(2017),28
942c, Rage of Bahamut: Virgin Soul,7.5,,24 min,(2017),28
943c, Rage of Bahamut: Virgin Soul,7.1,,24 min,(2017),27
944c, Doraemon,7.4,TV-PG,11 min,(1979–2005),7
945c, Doraemon,6.9,TV-PG,11 min,(1979–2005),11
946c, Gods School,8.2,,,(2018– ),13
