rank_id,title,show_type,rating,votes,runtime_minutes,episodes
325b,Mobile Suit Gundam: The 08th MS Team,OAV,7.97,1548,22,12
326b,Rozen Maiden: Träumend,TV,7.88,1565,25,12
327b,Maburaho,TV,6.92,1780,24,24
328b,Girls Bravo,TV,6.72,1831,24,24
329b,Xam'd: Lost Memories,ONA,7.54,1630,25,26
330b,Hunter X Hunter,OAV,8.57,1434,23,8
331b,"Love, Chunibyo & Other Delusions!",TV,7.95,1547,24,12
332b,Den-noh Coil,TV,8.41,1459,25,26
333b,Revolutionary Girl Utena,TV,8.02,1512,25,39
334b,Nisemonogatari,TV,8.10,1496,25,11
335b,RIN - Daughters of Mnemosyne,TV,7.48,1616,46,6
336b,Pokémon: The First Movie,movie 1,6.26,1931,96,
337b,Kimi ni Todoke 2nd Season,TV,8.35,1446,23,12
338b,Eden of the East: The King of Eden,movie,7.89,1530,82,
339b,Your Lie in April,TV,8.46,1419,23,22
340b,Burst Angel,TV,6.61,1807,24,24
341b,Maria Watches Over Us Season 2: Printemps,TV,8.81,1353,24,13
342b,Kannagi: Crazy Shrine Maidens,TV,7.73,1539,24,13
343b,Tokyo Ghoul,TV,7.23,1644,25,12
344b,your name.,movie,8.97,1320,106,
345b,Princess Tutu,TV,8.38,1411,23,38
346b,Shaman King,TV 2001,7.27,1622,23,64
347b,Aishiteruze Baby,TV,7.68,1527,25,26
348b,Cardcaptor Sakura: The Movie,,7.59,1545,82,
349b,Initial D,TV,7.85,1493,25,26
350b,Parasyte -the maxim-,TV,8.19,1431,23,24
351b,ERASED,TV,8.30,1412,half,12
352b,Loveless,TV,7.32,1588,23,12
353b,S.A,TV,7.65,1520,half,24
354b,Full Moon o Sagashite,TV,8.18,1420,half,52
355b,High School DxD,TV,7.41,1568,half,12
356b,Hunter X Hunter: Greed Island,OAV,8.40,1379,23,8
357b,Phantom ~Requiem for the Phantom~,TV,7.54,1531,24,26
358b,Macross Plus,OAV,7.97,1444,40,4
359b,Naruto the Movie: Legend of the Stone of Gelel,movie 2,6.67,1718,96,
360b,REC,TV,7.73,1482,12,10
361b,Bleach: The DiamondDust Rebellion,movie 2,7.49,1528,95,
362b,Hunter X Hunter: G I Final,OAV,8.45,1353,23,14
363b,Shiki,TV,7.42,1538,23,22
364b,Gintama,TV,8.39,1357,25,201
365b,Sola,TV,7.76,1463,24,15
366b,Green Green,TV,6.30,1792,24,12
367b,Karas,OAV,7.67,1473,,6
368b,,TV,7.64,1479,24,12
369b,Katanagatari,TV,8.40,1343,50,12
370b,Noragami,TV,7.57,1486,24,12
371b,My Little Monster,TV,7.79,1445,half,13
372b,Dance in the Vampire Bund,TV,6.61,1698,24,12
373b,Banner of the Stars,TV,8.00,1400,25,13
374b,Btooom!,TV,7.39,1515,24,12
375b,Infinite Stratos,TV,6.97,1600,half,12
375b,Kids on the Slope,TV,8.55,1305,,12
377b,Sailor Moon R,TV,7.27,1535,half,43
378b,B Gata H Kei - Yamada’s First Time,TV,7.25,1538,half,12
379b,Kiddy Grade,TV,7.13,1562,half,24
380b,Nodame Cantabile: Paris,TV,8.39,1327,23,11
381b,To Love-Ru,TV,7.06,1575,24,26
382b,Sound of the Sky,TV,7.80,1426,24,14
383b,Heaven's Lost Property,TV,7.45,1488,24,13
384b,Record of Lodoss War,OAV,7.38,1497,25,13
385b,,TV,8.22,1341,25,26
386b,Accel World,TV,7.42,1484,24,24
387b,.hack//Legend of the Twilight,TV,6.49,1692,24,12
388b,,TV,7.59,1444,25,25
389b,Azumanga Daioh - The Very Short Movie,,7.22,1516,5,
390b,Air,movie,7.40,1477,91,
391b,Nabari no Ou,TV,7.39,1478,24,26
392b,Chrome Shelled Regios,TV,7.63,1427,24,24
393b,Boogiepop Phantom,TV,7.31,1488,22,12
394b,HYOUKA,TV,8.01,1357,26,22
395b,,TV,7.59,1427,22,178
396b,Sailor Moon S,TV,7.63,1411,half,38
397b,This Ugly Yet Beautiful World,TV,6.82,1580,24,12
398b,ef: a tale of melodies,TV,8.54,1259,24,12
399b,Gargantia on the Verdurous Planet,TV,7.59,1403,24,13
400b,Hanasaku Iroha - Blossoms for Tomorrow,TV,8.31,1269,half,26
401b,Redline,movie,8.03,1306,101,
402b,Wolf Children,movie,8.60,1217,117,
403b,Genshiken 2,TV,8.09,1292,24,12
404b,Sword Art Online II,TV,7.43,1406,24,24
405b,Ichigo 100%,TV,6.77,1541,12,26
406b,Blue Submarine No.6,OAV,6.99,1492,30,4
407b,Seitokai Yakuindomo,TV,7.81,1333,24,13
408b,Uta∽Kata,TV,7.80,1332,24,12
409b,"Ceres, Celestial Legend",TV,7.19,1444,21,24
410b,Gunbuster,OAV,8.14,1271,30,6
411b,Texhnolyze,TV,7.55,1365,24,22
412b,Hunter × Hunter,TV 2011,8.66,1181,24,148
413b,Natsume's Book of Friends,TV 2,8.58,1191,24,13
414b,Gunslinger Girl: Il Teatrino,TV,7.81,1308,half,13
415b,InuYasha the Movie 4: Fire on the Mystic Island,,7.30,1397,86,
416b,Strike Witches,TV,7.48,1364,half,12
417b,My Teen Romantic Comedy SNAFU,TV,7.86,1297,24,13
418b,From the New World,TV,7.92,1286,24,25
419b,Kekkaishi,TV,7.75,1312,24,52
420b,GUNxSWORD,TV,7.35,1382,25,26
421b,Desert Punk,TV,6.99,1454,24,24
422b,Aria the Animation,TV,7.98,1269,25,13
423b,ItaKiss,TV,7.79,1298,24,25
424b,Tsubasa Tokyo Revelations,OAV,8.46,1192,25,3
425b,X,movie,5.60,1799,100,
426b,Mobile Suit Gundam Wing: Endless Waltz Special Edition,movie,7.71,1303,87,
427b,Witchblade,TV,7.29,1376,half,24
428b,,movie,8.06,1238,95,
429b,Sekirei: Pure Engagement,TV,7.73,1286,24,14
430b,A Certain Magical Index II,TV,7.36,1348,24,24
431b,Dusk maiden of Amnesia,TV,7.64,1291,half,13
432b,Mobile Fighter G Gundam,TV,6.83,1442,24,49
433b,,TV,7.48,1312,24,24
434b,Elemental Gelade,TV,7.42,1320,half,26
435b,Peacemaker,TV,7.30,1337,half,24
436b,Puni Puni Poemy,OAV,6.74,1441,30,2
437b,Digimon Adventure 02,TV,6.61,1459,half,50
438b,Log Horizon,TV,8.10,1186,24,25
439b,Denpa teki na Kanojo,OAV,8.24,1162,42,2
440b,Nyan Koi!,TV,7.43,1286,24,12
441b,Darker than Black - Kuro no Keiyakusha: Gaiden,OAV,7.74,1228,24,4
442b,Night Raid 1931,TV,7.56,1251,25,13
443b,Akame ga KILL!,TV,7.46,1267,23,24
444b,Yu-Gi-Oh!,TV 1/1998,5.41,1741,half,27
445b,He Is My Master,TV,6.57,1431,24,12
446b,Death Parade,TV,7.89,1192,23,12
447b,xxxHOLiC: Kei,TV,8.31,1131,24,13
448b,Wagnaria!!,TV,7.75,1211,half,13
449b,Clannad,movie,7.49,1252,90,
450b,Cromartie High School,TV,7.53,1245,12,26
451b,Air In Summer,special,7.82,1194,24,
452b,Banner of the Stars II,TV,8.16,1144,25,10
453b,Angel Sanctuary,OAV,6.22,1498,half,3
454b,Bubblegum Crisis: Tokyo 2040,TV,7.03,1326,half,26
455b,Spiral,TV,7.32,1272,25,25
456b,Ōkami-san & Her Seven Companions,TV,7.56,1229,24,12
457b,Bakuman.,TV,8.19,1135,24,25
458b,Chihayafuru,TV,8.42,1103,half,25
459b,Tiger & Bunny,TV,8.23,1129,half,25
460b,Eden of the East: Paradise Lost,movie,7.84,1182,93,
461b,Please Twins!,OAV,7.18,1290,26,1
462b,Madlax,TV,7.54,1227,25,26
463b,Kanokon: The Girl Who Cried Fox,TV,6.61,1394,half,12
464b,Mobile Suit Gundam,TV,7.70,1197,half,43
465b,,TV,7.88,1168,25,26
466b,,TV,7.46,1232,half,12
467b,Lucky Star OVA,,7.90,1162,42,
468b,Kokoro Connect,TV,7.71,1186,half,17
469b,Dragon Ball Z: The Tree of Might,movie 3,6.09,1499,60,
470b,Dragon Ball Z: Dead Zone,movie 1,6.22,1462,41,
471b,Is It Wrong to Try to Pick Up Girls in a Dungeon?,TV,7.52,1206,24,13
472b,Beyond the Boundary,TV,7.55,1200,24,12
473b,Magical Girl Lyrical Nanoha,TV,7.55,1199,26,13
474b,Saiyuki,TV,7.28,1242,25,50
475b,Waiting in the Summer,TV,7.91,1142,half,12
476b,Freezing,TV,7.22,1245,half,12
477b,Descendants of Darkness,TV,7.16,1256,25,13
477b,Prétear,TV,7.18,1252,half,13
479b,Mahoromatic: Something More Beautiful,TV,7.49,1197,24,14
480b,Kämpfer,TV,5.99,1493,24,12
481b,Jyu-Oh-Sei,TV,7.33,1219,23,11
482b,,TV,8.32,1072,25,36
482b,Bokura ga Ita,TV,7.75,1151,26,26
484b,Aria - The Natural,TV,8.12,1098,24,26
485b,Memories,movie,7.81,1137,113,
486b,Appleseed: Ex Machina,movie,7.49,1185,105,
487b,Ghost Hound,TV,7.44,1184,25,22
488b,Pokémon 2000 - The Movie,movie 2,6.19,1418,102,
489b,Naruto Special: Battle at Hidden Falls. I Am the Hero!,OAV,6.47,1356,40,1
490b,Princess Jellyfish,TV,8.08,1085,22,11
491b,,TV,8.09,1083,25,39
492b,Monthly Girls' Nozaki-kun,TV,8.17,1072,24,12
493b,Kasimasi - Girl Meets Girl,TV,7.08,1236,half,12
494b,xxxHOLiC the Movie: A Midsummer Night's Dream,,7.78,1122,one,
495b,Re:ZERO -Starting Life in Another World-,TV,8.42,1037,half,25
496b,Bleach: The Sealed Sword Frenzy,OAV,6.98,1249,half,1
497b,Nichijou - My Ordinary Life,TV,8.26,1055,24,26
498b,Genshiken,OAV,8.02,1087,24,
499b,My Hero Academia,TV,8.15,1069,half,13
500b,Kyo kara Maoh!,TV,7.73,1122,23,78
501b,Pom Poko,movie,7.38,1174,118,
502b,,movie,8.31,1043,46,
503b,Strawberry Eggs,TV,7.05,1227,23,13
504b,Kite,OAV,6.73,1285,26,2
505b,Tenchi the Movie - Tenchi Muyo in Love,,7.66,1127,95,
506b,Magical Girl Lyrical Nanoha A's,TV,8.08,1068,25,13
507b,Arakawa Under the Bridge,TV,7.54,1140,24,13
508b,Zombie-Loan,TV,6.95,1236,24,13
509b,Battle Angel,OAV,7.21,1191,29,2
