rank,title,rating,show_type,episodes,run_time,member_count
201,Tian Guan Ci Fu,8.36,ONA,11,Oct 2020 - Jan 2021,121144
202,Usagi Drop,8.36,TV,11,Jul 2011 - Sep 2011,481361
203,Wu Liuqi: Xuanwu Guo Pian,8.36,ONA,10,Jan 2021 - May 2021,54280
204,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.36,TV,12,Jul 2020 - Sep 2020,688527
205,Fumetsu no Anata e,8.36,TV,20,Apr 2021 - Aug 2021,817085
206,Haikyuu!! To the Top,8.36,TV,13,Jan 2020 - Apr 2020,881944
207,Bakuman. 2nd Season,8.35,TV,25,Oct 2011 - Mar 2012,344770
208,Boku no Hero Academia 6th Season,8.35,TV,25,Oct 2022 - Mar 2023,550874
209,Gintama: Shiroyasha Koutan,8.35,Special,1,Sep 2008 - Sep 2008,67723
210,Hellsing Ultimate,8.35,OVA,10,Feb 2006 - Dec 2012,891802
211,K-On! Movie,8.35,Movie,1,Dec 2011 - Dec 2011,318010
212,Neon Genesis Evangelion,8.35,TV,26,Oct 1995 - Mar 1996,1726156
213,Blue Lock,8.34,TV,24,Oct 2022 - Mar 2023,563010
214,Kiseijuu: Sei no Kakuritsu,8.34,TV,24,Oct 2014 - Mar 2015,1788204
215,Psycho-Pass,8.34,TV,22,Oct 2012 - Mar 2013,1573540
216,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.34,TV,13,Jul 2020 - Sep 2020,1047992
217,Kidou Senshi Gundam: The Origin,8.33,OVA,6,Feb 2015 - May 2018,69921
218,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.33,OVA,1,Feb 2014 - Feb 2014,77570
219,One Outs,8.33,TV,25,Oct 2008 - Apr 2009,229892
220,Romeo no Aoi Sora,8.33,TV,33,Jan 1995 - Dec 1995,48082
221,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.33,TV,12,Jul 2021 - Sep 2021,687802
222,Uchuu Senkan Yamato 2199,8.33,OVA,26,May 2012 - Oct 2013,111653
223,Versailles no Bara,8.33,TV,40,Oct 1979 - Sep 1980,92840
224,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.33,Special,1,Jul 2018 - Jul 2018,311868
225,Bakemonogatari,8.33,TV,15,Jul 2009 - Jun 2010,1359168
226,Given,8.33,TV,11,Jul 2019 - Sep 2019,538548
227,Initial D First Stage,8.33,TV,26,Apr 1998 - Dec 1998,355850
228,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,TV,13,Apr 2015 - Jun 2015,823282
229,Kage no Jitsuryokusha ni Naritakute!,8.32,TV,20,Oct 2022 - Feb 2023,486277
230,Kingdom 2nd Season,8.32,TV,39,Jun 2013 - Mar 2014,118239
231,Major S6,8.32,TV,25,Apr 2010 - Sep 2010,61094
232,Natsume Yuujinchou Go Specials,8.32,Special,2,Mar 2017 - Apr 2017,43764
233,Ookami to Koushinryou II,8.31,TV,12,Jul 2009 - Sep 2009,476636
234,Ramayana: The Legend of Prince Rama,8.32,Movie,1,Jan 1993 - Jan 1993,9433
235,Katanagatari,8.31,TV,12,Jan 2010 - Dec 2010,546571
236,Kemono no Souja Erin,8.31,TV,50,Jan 2009 - Dec 2009,83729
237,Natsume Yuujinchou,8.31,TV,13,Jul 2008 - Sep 2008,521253
238,NHK ni Youkoso!,8.31,TV,24,Jul 2006 - Dec 2006,712046
239,Sakamichi no Apollon,8.31,TV,12,Apr 2012 - Jun 2012,372285
240,Spy x Family Part 2,8.31,TV,13,Oct 2022 - Dec 2022,778718
241,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.31,TV,11,Apr 2011 - Jun 2011,1558350
242,Boku dake ga Inai Machi,8.31,TV,12,Jan 2016 - Mar 2016,2002347
243,Fate/strange Fake: Whispers of Dawn,8.31,Special,1,Jul 2023 - Jul 2023,50248
244,Hunter x Hunter: Original Video Animation,8.31,OVA,8,Jan 2002 - Apr 2002,122976
245,IDOLiSH7 Third Beat! Part 2,8.31,TV,17,Oct 2022 - Feb 2023,11815
246,Diamond no Ace: Second Season,8.30,TV,51,Apr 2015 - Mar 2016,132676
247,Evangelion: 2.0 You Can (Not) Advance,8.30,Movie,1,Jul 2009 - Jul 2009,519466
248,Hibike! Euphonium 2,8.30,TV,13,Oct 2016 - Dec 2016,217824
249,Kobayashi-san Chi no Maid Dragon S,8.30,TV,12,Jul 2021 - Sep 2021,523235
250,Kuroko no Basket 3rd Season,8.30,TV,25,Jan 2015 - Jun 2015,731616
251,Kino no Tabi: The Beautiful World,8.29,TV,13,Apr 2003 - Jul 2003,300312
252,Major: World Series,8.29,OVA,2,Dec 2011 - Jan 2012,35679
